thread_id,kind,participants,messages,sent_by_me,received,with_text,with_attachments,first_message,last_message,span_days
303fa4cd338adc6e,individual,1,2,0,2,2,0,2019-06-04,2019-06-04,0
bd82be3d4b4c5c12,individual,1,2,0,2,2,0,2019-06-06,2019-06-06,0
0dc26059a7dec8e1,individual,1,2,0,2,2,0,2019-06-07,2019-06-07,0
0ad18641e0806557,individual,1,2,0,2,2,0,2019-06-12,2019-06-21,9
9f8fe0471704021f,individual,0,2,2,0,2,1,2019-07-29,2019-07-29,0
bfa7fa05c8f06344,group,2,2,0,2,2,1,2019-11-28,2019-11-28,0
844f74a91ecfa58c,individual,1,2,0,2,2,0,2019-12-07,2020-03-23,106
16744bb81af94f21,individual,1,2,0,2,2,0,2019-12-15,2019-12-18,3
72744f342c6338a0,individual,1,2,0,2,2,0,2020-01-02,2020-01-02,0
6711d8c5096adcce,individual,1,2,0,2,2,0,2020-01-08,2020-01-08,0
5b9e71a9c748285f,individual,0,2,2,0,2,0,2020-02-07,2020-02-07,0
4098e53271916ef7,individual,1,2,0,2,2,0,2020-03-26,2020-03-27,0
9d1e94af9adbdafe,individual,1,2,1,1,2,0,2020-04-14,2020-04-14,0
04615d3834aa6ece,individual,0,2,2,0,2,0,2020-04-18,2020-04-18,0
30fce6bc6a865785,individual,1,2,0,2,2,0,2020-05-02,2020-05-02,0
b917c64002230026,individual,1,2,0,2,2,0,2020-10-05,2020-10-06,1
180773563c514341,individual,1,2,0,2,2,0,2023-11-04,2023-11-04,0
faf10fa9cf2c1ac8,individual,1,2,0,2,2,0,2023-11-21,2024-05-24,184
96059a8039881afb,individual,1,2,1,1,2,0,2023-11-26,2023-11-26,0
15f2d1489a75a7f4,individual,1,2,1,1,2,0,2023-12-24,2023-12-24,0
e7416484bff15bd6,individual,0,2,2,0,2,1,2024-03-10,2024-03-24,13
c58c7216dd06ec63,individual,1,2,0,2,2,0,2024-05-24,2025-04-16,326
d2df63306001417c,individual,1,2,0,2,2,0,2024-08-06,2024-08-11,4
7d918266561ee820,individual,1,2,0,2,2,0,2024-08-10,2024-08-10,0
b5f9d576b115dc5d,individual,1,2,0,2,2,0,2024-08-24,2024-08-30,6
e9cb0cb848b278b0,individual,1,2,0,2,2,0,2024-08-26,2024-08-29,3
926ce67773fe6c66,individual,0,2,2,0,2,0,2024-09-05,2024-12-27,112
9a8be86960864a6e,group,1,2,0,2,2,0,2024-12-08,2024-12-08,0
fb21f705705c13db,individual,1,2,1,1,2,0,2025-01-16,2025-05-06,110
f2c4d7d070922577,individual,1,2,0,2,2,0,2025-01-24,2025-08-02,190
e7ea9e03fc8c0159,individual,1,2,0,2,2,0,2025-03-10,2025-04-22,42
2f26aa4de45f45cc,individual,1,2,0,2,2,0,2025-05-11,2025-05-12,0
e73b9ef27347587a,individual,0,2,2,0,2,0,2025-05-25,2025-05-25,0
9b2eb91ef72dbf56,individual,0,2,2,0,2,0,2025-08-17,2025-08-17,0
3f50b0671379b16f,individual,1,2,0,2,2,0,2025-08-26,2025-10-16,51
7776ab931ebbb252,group,1,2,1,1,2,0,2025-09-13,2025-09-13,0
b531fb1346ddd243,individual,1,2,0,2,2,1,2025-11-20,2025-11-20,0
e9b925cd03f063e3,individual,1,2,0,2,0,2,2026-06-19,2026-06-21,1
eb87e73dd623e957,group,1,1,0,1,1,0,2015-12-11,2015-12-11,0
716d9af27d2d8327,individual,0,1,1,0,1,0,2016-05-02,2016-05-02,0
ab7f7c28d9187152,individual,0,1,1,0,1,1,2016-11-21,2016-11-21,0
10490d2015dcf2c0,individual,0,1,1,0,0,1,2017-01-21,2017-01-21,0
e67370f51e6e68a3,individual,0,1,1,0,0,1,2017-10-21,2017-10-21,0
959f6024aee53cf3,individual,1,1,0,1,1,0,2017-11-08,2017-11-08,0
f1dc8a357b8a9167,individual,1,1,0,1,1,0,2018-01-23,2018-01-23,0
ad1c620bb1b2e0b9,individual,0,1,1,0,1,0,2018-02-20,2018-02-20,0
c8183cae2477bfaf,individual,1,1,0,1,1,0,2018-02-28,2018-02-28,0
4a4713641c53f2a4,individual,1,1,0,1,1,0,2018-02-28,2018-02-28,0
b64900587d783ecf,individual,1,1,0,1,1,0,2018-03-18,2018-03-18,0
3f6640b7213ba8b0,individual,1,1,0,1,1,0,2018-03-18,2018-03-18,0
e94b5637c23730a3,individual,0,1,1,0,1,0,2018-03-27,2018-03-27,0
7f48ebf773b0cd00,individual,1,1,0,1,1,0,2018-03-30,2018-03-30,0
7bc477ca3f891a1c,group,1,1,0,1,1,0,2018-04-03,2018-04-03,0
6d9831feb82e3d29,individual,1,1,0,1,1,0,2018-04-16,2018-04-16,0
c26e55a80c92028d,individual,0,1,1,0,1,0,2018-04-22,2018-04-22,0
7598a49445574eb2,individual,1,1,0,1,1,0,2018-05-10,2018-05-10,0
74488b68558c9124,individual,0,1,1,0,1,0,2018-05-12,2018-05-12,0
cc17b47c262d1eb5,individual,0,1,1,0,1,0,2018-05-15,2018-05-15,0
1c72926e4a9cd29b,individual,0,1,1,0,1,0,2018-05-22,2018-05-22,0
ce65a90749925ac9,individual,1,1,0,1,1,0,2018-05-25,2018-05-25,0
7211adef25412fee,individual,0,1,1,0,1,0,2018-06-03,2018-06-03,0
892924e6509b0b3a,individual,1,1,0,1,1,0,2018-06-06,2018-06-06,0
6817afd5bfc93e3f,individual,1,1,0,1,1,0,2018-06-25,2018-06-25,0
baf82f525b4cf55f,individual,1,1,0,1,1,0,2018-06-25,2018-06-25,0
ae25f914b6901852,group,0,1,1,0,0,1,2018-06-27,2018-06-27,0
54bb51194bb05a34,individual,1,1,0,1,1,0,2018-09-02,2018-09-02,0
8c03bbb4641fed93,individual,1,1,0,1,1,0,2018-09-07,2018-09-07,0
0c6a1cc264fbb9ca,individual,1,1,0,1,1,0,2018-09-09,2018-09-09,0
473be46de4c2caa0,individual,1,1,0,1,1,0,2018-09-12,2018-09-12,0
2af9acefb1da09cd,individual,1,1,0,1,1,0,2018-09-12,2018-09-12,0
3b322e813dbee398,individual,1,1,0,1,1,0,2018-09-12,2018-09-12,0
3ee2dbbcc82eefb9,individual,1,1,0,1,1,0,2018-09-29,2018-09-29,0
6ec77dab9dbfe637,individual,1,1,0,1,1,0,2018-10-02,2018-10-02,0
8040759789d122a6,individual,1,1,0,1,1,0,2018-10-07,2018-10-07,0
20fc6e8da9eabb3c,individual,1,1,0,1,1,0,2018-10-16,2018-10-16,0
653877d1351b25ac,individual,1,1,0,1,1,0,2018-10-16,2018-10-16,0
